Gene Name,Group,RefSeq Transcript ID,Confirmed via
GRIN1,Brain,NM_007327.4,Both
GRIN2A,Brain,NM_001134407.3,GTEx
GRIN2B,Brain,NM_000834.5,GTEx
GRIN2C,Brain,NM_000835.6,GTEx
GRIA1,Brain,NM_000827.4,GTEx
GRIA2,Brain,NM_001083619.3,GTEx
SYN1,Brain,NM_006950.3,GTEx
SYT1,Brain,NM_005639.3,GTEx
SNAP25,Brain,NM_130811.4,GTEx
CAMK2A,Brain,NM_015981.4,GTEx
DLG4,Brain,NM_001321075.3,GTEx
SYP,Brain,NM_003179.3,GTEx
NRGN,Brain,NM_006176.3,GTEx
RBFOX3,Brain,NM_001350451.2,GTEx
ALB,Liver,NM_000477.7,GTEx
APOB,Liver,NM_000384.3,GTEx
CYP3A4,Liver,NM_017460.6,GTEx
CYP2E1,Liver,NM_000773.4,GTEx
SERPINA1,Liver,NM_000295.5,GTEx
F2,Liver,NM_000506.5,GTEx
HNF4A,Liver,NM_175914.5,GTEx
TTR,Liver,NM_000371.4,GTEx
APOA1,Liver,NM_000039.3,GTEx
HAMP,Liver,NM_021175.4,GTEx
CYP1A2,Liver,NM_000761.5,GTEx
ASGR1,Liver,NM_001671.5,GTEx
TAT,Liver,NM_000353.3,GTEx
ARG1,Liver,NM_000045.4,GTEx
